0.38878E-05 0.10015E-07 0.00000E+01 260567 0 0 16165 0.41560E+10 0.00000E+01 0.38878E-05 0.00000E+01 0.00000E+01 0
1 3.8219e-06 1.8898e-07 1.5273 3.5447e-05 3.8219e-06
2 3.8133e-06 7.6748e-08 1.3329 3.0003e-05 3.8133e-06
3 3.8277e-06 4.437e-08 1.0857 2.8704e-05 3.8277e-06
4 3.9068e-06 7.7807e-08 1.319 3.2552e-05 3.9068e-06
5 3.8869e-06 4.5844e-08 1.1047 2.9606e-05 3.8869e-06
6 3.8864e-06 2.3596e-08 0.8042 2.2782e-05 3.8864e-06
7 3.9231e-06 7.7789e-08 1.3132 2.4337e-05 3.9231e-06
8 3.8946e-06 4.5028e-08 1.0829 2.823e-05 3.8946e-06
9 3.8986e-06 2.4023e-08 0.81616 2.5715e-05 3.8986e-06
10 4.0397e-06 1.9221e-07 1.4849 2.5182e-05 4.0397e-06
11 3.8481e-06 7.7109e-08 1.3271 2.8867e-05 3.8481e-06
12 3.8708e-06 4.5435e-08 1.0994 3.057e-05 3.8708e-06
13 3.9103e-06 7.8002e-08 1.3211 3.5501e-05 3.9103e-06
14 3.9036e-06 4.5933e-08 1.1021 2.8518e-05 3.9036e-06
15 3.875e-06 2.4015e-08 0.8209 2.3865e-05 3.875e-06
16 4.0173e-06 8.0983e-08 1.335 2.6029e-05 4.0173e-06
17 3.8435e-06 4.4454e-08 1.0833 2.7754e-05 3.8435e-06
18 3.9084e-06 2.3904e-08 0.81009 2.1164e-05 3.9084e-06
19 4.0525e-06 8.08e-08 1.3205 2.7501e-05 4.0525e-06
20 3.9715e-06 4.681e-08 1.1039 3.2722e-05 3.9715e-06
21 3.8712e-06 2.4064e-08 0.82334 2.7286e-05 3.8712e-06
22 4.0479e-06 1.9461e-07 1.4919 2.5819e-05 4.0479e-06
23 3.927e-06 7.7368e-08 1.3048 2.1557e-05 3.927e-06
24 3.9116e-06 4.6833e-08 1.1214 3.1854e-05 3.9116e-06
25 4.0632e-06 8.1258e-08 1.3244 2.2578e-05 4.0632e-06
26 3.8744e-06 4.5296e-08 1.095 2.8146e-05 3.8744e-06
27 3.8816e-06 2.352e-08 0.8026 2.1665e-05 3.8816e-06
28 4.0722e-06 1.9364e-07 1.4764 2.7993e-05 4.0722e-06
29 3.8595e-06 7.619e-08 1.3074 2.159e-05 3.8595e-06
30 3.8786e-06 4.5914e-08 1.1087 3.2728e-05 3.8786e-06
31 3.6551e-06 1.857e-07 1.5225 2.5153e-05 3.6551e-06
32 3.953e-06 7.9581e-08 1.3333 2.7274e-05 3.953e-06
33 3.8894e-06 4.5011e-08 1.0839 2.8394e-05 3.8894e-06
<lo_statistics>
<cumulated_time> 83.85042299999999 </cumulated_time>
</lo_statistics>
